stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,tinh_thanh,ten_co_so_norm,quan_huyen_norm,phuong_xa_norm,thoi_han_gcn_attp,processing_days,attp_valid
73,,YT,4042227096.0,2023-12-23,2023-01-30,,cong ty tnhh big up vietnam,ĐỒNG THỊ THU HÀ,64B3 Xuân Thủy,thao đien,thu đuc,,kinh doanh dich vu an uong,73,2023-01-06,,,,,,ho chi minh,cong ty tnhh big up vietnam,thu đuc,thao đien,2026-01-05,-351.0,True
74,,YT,4042226952.0,2022-12-20,2023-01-18,,cua hang wayne’s coffee - cong ty co phan arya consumer,ĐINH NGUYÊN DŨNG,"G.06A, Tầng trệt - Tháp A, Viettel Tower, 285 Cách Mạng Tháng Tám",12,10,,kinh doanh dich vu an uong,74,2023-01-06,,,,,,ho chi minh,cua hang wayne’s coffee - cong ty co phan arya consumer,10,12,2026-01-05,17.0,True
75,,YT,4042227125.0,2022-12-23,2023-01-30,,cong ty tnhh phuong đong new,NGUYỄN GIA BẢO,968-970 Đường Tạ Quang Bửu,6,8,,kinh doanh dich vu an uong,75,2023-01-06,,,,,,ho chi minh,cong ty tnhh phuong đong new,8,6,2026-01-05,14.0,True
76,,YT,4042226935.0,2022-12-21,2023-01-19,,cong ty tnhh san xuat thuong mai tam thien huong,NGUYỄN CHIÊU TÂM,136/27 Nguyễn Thị Tần,2,8,,san xuat nuoc uong đong binh,76,2023-01-06,,,,,,ho chi minh,cong ty tnhh san xuat thuong mai tam thien huong,8,2,2026-01-05,16.0,True
77,,YT,4042226986.0,2022-12-20,2023-01-18,,đia điem kinh doanh chi nhanh cong ty tnhh đau tu jebs viet nam tai tp ho chi minh - nha hang pepper lunch giga mall,"CHNG CHOON LOONG, EUGENE","L2-06 - Tầng 3, Trung Tâm Thương Mại Sense City Phạm Văn Đồng, 240-242 Kha Vạn Cân",hiep binh chanh,thu đuc,,kinh doanh dich vu an uong,77,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh chi nhanh cong ty tnhh đau tu jebs viet nam tai tp ho chi minh - nha hang pepper lunch giga mall,thu đuc,hiep binh chanh,2026-01-05,17.0,True
78,,YT,4042226972.0,2022-12-20,2023-01-18,,đia điem kinh doanh đang van bi cong ty co phan thuc pham phuc loc tho,PHAN SỸ THI,"163 Đặng Văn Bi, Khu phố 5",truong tho,thu đuc,,kinh doanh dich vu an uong,78,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh đang van bi cong ty co phan thuc pham phuc loc tho,thu đuc,truong tho,2026-01-05,17.0,True
79,,CT,,2022-12-21,2023-01-19,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,TRẦN QUANG THUẬN,1333 Phan Văn Trị,10,go vap,,ban le nhom san pham theo danh muc,79,2023-01-06,,,,,,ho chi minh,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,go vap,10,2026-01-05,16.0,True
80,,CT,,2022-12-23,2023-01-30,,co.opsmile 72 đuong 17,LÊ HƯNG VĨNH,72 Đường 17,tan thuan tay,7,,ban le nhom san pham theo danh muc,80,2023-01-06,,,,,,ho chi minh,co.opsmile 72 đuong 17,7,tan thuan tay,2026-01-05,14.0,True
81,,NN,,2022-12-26,2023-01-17,,cong ty tnhh thit bo tin phuong,,Số 36 Đường số 15,tan kieng,7,315074703.0,kinh doanh thit bo,81,2023-01-06,,,,,,ho chi minh,cong ty tnhh thit bo tin phuong,7,tan kieng,2026-01-05,11.0,True
82,,NN,,2022-12-23,2023-01-16,,ho kinh doanh 3b food,,71/3/2A Phú Thọ Hòa,phu tho hoa,tan phu,,che bien: ga u muoi,82,2023-01-06,,,,,,ho chi minh,ho kinh doanh 3b food,tan phu,phu tho hoa,2026-01-05,14.0,True
83,,NN,,2022-12-23,2023-01-16,,ho kinh doanh thu loan,,287 Nguyễn Thị Nhỏ,16,11,,che bien heo quay,83,2023-01-06,,,,,,ho chi minh,ho kinh doanh thu loan,11,16,2026-01-05,14.0,True
84,,NN,,2022-12-23,2023-01-16,,ho kinh doanh hoan phong,,65/18 Phú Thọ,1,11,,"che bien: cai chua, cha bong heo",84,2023-01-06,,,,,,ho chi minh,ho kinh doanh hoan phong,11,1,2026-01-05,14.0,True
85,,CT,,2022-12-21,2023-01-19,,cua hang vissan - chi nhanh cong ty co phan viet nam ky nghe suc san - trung tam kinh doanh chuoi cua hang vissan,LÊ THỊ HOÀNG NGÂN,Số 368 Nguyễn Thị Định,thanh my loi,thu đuc,,ban le nhom san pham theo danh muc,85,2023-01-06,,,,,,ho chi minh,cua hang vissan - chi nhanh cong ty co phan viet nam ky nghe suc san - trung tam kinh doanh chuoi cua hang vissan,thu đuc,thanh my loi,2026-01-05,16.0,True
86,,"CT, NN",,2022-12-20,2023-01-30,,cong ty tnhh mot thanh vien nha hang hoang yen-đia điem kinh doanh bep trung tam hoang yen,NGUYỄN KHÁNH SƠN,66I/32 đường Gò Cát,phu huu,thu đuc,,"san xuat cac loai banh tu bot (tru banh trung thu); che bien: nuoc sot, nuoc lau, mon an san",86,2023-01-06,,,,,,ho chi minh,cong ty tnhh mot thanh vien nha hang hoang yen-đia điem kinh doanh bep trung tam hoang yen,thu đuc,phu huu,2026-01-05,17.0,True
87,,CT,,2022-12-23,2023-01-30,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,TRẦN QUANG THUẬN,52 Dạ Nam,2,8,,ban le nhom san pham theo danh muc,87,2023-01-06,,,,,,ho chi minh,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,8,2,2026-01-05,14.0,True
88,,NN,,2022-12-21,2023-01-16,,ho kinh doanh co so ca phe ha gia,,"74/9 Đường số 7, Khu phố 3",linh trung,thu đuc,,"rang, xay, đong goi ca phe",88,2023-01-06,,,,,,ho chi minh,ho kinh doanh co so ca phe ha gia,thu đuc,linh trung,2026-01-05,16.0,True
89,,CT,,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 268,NÔNG VĂN DŨNG,"143 - 145 Đường Linh Đông, Khu phố 4",linh đong,thu đuc,,ban le nhom san pham theo danh muc,89,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 268,thu đuc,linh đong,2026-01-05,14.0,True
90,,"CT, YT",,2022-12-23,2023-01-30,,đia điem kinh doanh so 234 - cong ty tnhh gs25 vietnam,MAI THỤY NHÂN,"Tầng 1 và Tầng 2, Số 65 Đường Trần Thị Nghỉ",7,go vap,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,90,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh so 234 - cong ty tnhh gs25 vietnam,go vap,7,2026-01-08,17.0,True
91,,"CT, YT",,2022-12-23,2023-01-30,,đia điem kinh doanh so 228 - cong ty tnhh gs25 vietnam,MAI THỤY NHÂN,Số 366A28 Đường Phan Văn Trị,5,go vap,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,91,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh so 228 - cong ty tnhh gs25 vietnam,go vap,5,2026-01-08,17.0,True
92,,CT,,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 91,NÔNG VĂN DŨNG,80 – 82 – 84 – 86 Lê Văn Thọ,11,go vap,,ban le nhom san pham theo danh muc,92,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 91,go vap,11,2026-01-08,17.0,True
93,,CT,,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 260,NÔNG VĂN DŨNG,"Số 415 - 417 Quốc lộ 22, Ấp Phước Hòa",phuoc hiep,cu chi,,ban le nhom san pham theo danh muc,93,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 260,cu chi,phuoc hiep,2026-01-08,17.0,True
94,,CT,,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 278,NÔNG VĂN DŨNG,"1391 Tỉnh Lộ 7, Ấp Chợ Cũ 2",an nhon tay,cu chi,,ban le nhom san pham theo danh muc,94,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 278,cu chi,an nhon tay,2026-01-08,17.0,True
95,,NN,,2022-12-23,2023-01-17,,ho kinh doanh co so cao bang giai giai,,"Số 240, Quốc lộ 22, ấp Hậu",tan thong hoi,cu chi,,che bien rau cau,95,2023-01-09,,,,,,ho chi minh,ho kinh doanh co so cao bang giai giai,cu chi,tan thong hoi,2026-01-08,17.0,True
96,,CT,,2022-12-21,2023-01-30,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,TRẦN QUANG THUẬN,"143 Lê Thị Hà, Ấp Đình",tan xuan,hoc mon,,ban le nhom san pham theo danh muc,96,2023-01-09,,,,,,ho chi minh,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,hoc mon,tan xuan,2026-01-08,19.0,True
97,,NN,,2022-12-28,2023-01-19,,cong ty tnhh tm - dv thien bao,,92/12A Nguyễn Sơn,phu tho hoa,tan phu,316114211.0,"kinh doanh: thit đong lanh, thuy san đong lanh, rau, cu, qua",97,2023-01-09,,,,,,ho chi minh,cong ty tnhh tm - dv thien bao,tan phu,phu tho hoa,2026-01-08,12.0,True
98,,NN,,2022-12-26,2023-01-17,,ho kinh doanh co so thuc pham toan cau,,267 Tân Sơn Nhì,tan son nhi,tan phu,,"pha loc, đong goi: thit bo, thit heo",98,2023-01-09,,,,,,ho chi minh,ho kinh doanh co so thuc pham toan cau,tan phu,tan son nhi,2026-01-08,14.0,True
99,,YT,,2022-12-27,2023-02-01,,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_492ntp,NGUYỄN HUỲNH KHOA,492 Nguyễn Tri Phương,9,10,,kinh doanh dich vu an uong,99,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_492ntp,10,9,2026-01-08,13.0,True
100,,YT,,2022-12-23,2023-01-30,,nha hang tan lac vien,ĐOÀN NGỌC THU,1191-1193-1195-1197-1199 đường 3/2,6,11,,kinh doanh dich vu an uong,100,2023-01-09,,,,,,ho chi minh,nha hang tan lac vien,11,6,2026-01-08,17.0,True
101,,YT,4042226893.0,2023-01-04,2023-02-08,,chi nhanh 1 - cong ty tnhh thuong mai dich vu ben house,LÊ THỊ MAI THẢO,43/19 Hoàng Diệu,13,4,,kinh doanh dich vu an uong,101,2023-01-09,,,,,,ho chi minh,chi nhanh 1 - cong ty tnhh thuong mai dich vu ben house,4,13,2026-01-08,5.0,True
102,,YT,4042227097.0,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty tnhh thuong mai dich vu huy & huy,NGUYỄN THỊ TẤN,111 Lương Ngọc Quyến,5,go vap,,kinh doanh dich vu an uong,102,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh thuong mai dich vu huy & huy,go vap,5,2026-01-08,17.0,True
103,,YT,4042227067.0,2022-12-26,2023-01-31,,đia điem kinh doanh so 100 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,TRƯƠNG THỊ THANH HUYỀN,163C Xóm Chiếu,16,4,,kinh doanh dich vu an uong,103,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh so 100 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,4,16,2026-01-08,14.0,True
104,,YT,4042227006.0,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty tnhh thuong mai dich vu shadow,NGUYỄN THỤY PHƯƠNG ANH,244 Pasteur,vo thi sau,3,,kinh doanh dich vu an uong,104,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh thuong mai dich vu shadow,3,vo thi sau,2026-01-08,17.0,True
105,,YT,4042227044.0,2022-12-23,2023-01-30,,đia điem kinh doanh cafe katinat đang van bi- cong ty co phan cafe katinat,ĐINH VIỆT HÀ,"168 Đặng Văn Bi, Khu phố 1",binh tho,thu đuc,,kinh doanh dich vu an uong,105,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cafe katinat đang van bi- cong ty co phan cafe katinat,thu đuc,binh tho,2026-01-08,17.0,True
106,,YT,4042226892.0,2022-12-20,2023-01-18,,đia điem kinh doanh so 105 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,TRƯƠNG THỊ THANH HUYỀN,"12 Lê Văn Khương, Khu phố 1",thoi an,12,,kinh doanh dich vu an uong,106,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh so 105 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,12,thoi an,2026-01-08,20.0,True
107,,YT,4042226900.0,2022-12-20,2023-01-18,,cong ty tnhh nha hang am thuc đao ngoc,LÊ VĂN CHƯƠNG,"89 Nguyễn Thị Búp, Khu phố 11",tan chanh hiep,12,,kinh doanh dich vu an uong,107,2023-01-09,,,,,,ho chi minh,cong ty tnhh nha hang am thuc đao ngoc,12,tan chanh hiep,2026-01-08,20.0,True
108,,YT,4042227004.0,2022-12-20,2023-01-18,,cong ty tnhh song xua,NGUYỄN THỊ KIM LOAN,806/19 Hà Huy Giáp,thanh loc,12,,kinh doanh dich vu an uong,108,2023-01-09,,,,,,ho chi minh,cong ty tnhh song xua,12,thanh loc,2026-01-08,20.0,True
109,,YT,4042226106.0,2023-01-04,2023-02-08,,đia điem kinh doanh ch0003- cong ty tnhh thuong mai sasin,ĐỖ XUÂN TUẤN,11 Nguyễn Gia Trí,25,binh thanh,,kinh doanh dich vu an uong,109,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh ch0003- cong ty tnhh thuong mai sasin,binh thanh,25,2026-01-08,5.0,True
110,,YT,4042226902.0,2023-01-04,2023-02-07,,cong ty co phan thuong mai hai san hai chau,NGÔ ĐỨC TRỌNG,67 Nguyễn Hữu Cảnh,22,binh thanh,,kinh doanh dich vu an uong,110,2023-01-09,,,,,,ho chi minh,cong ty co phan thuong mai hai san hai chau,binh thanh,22,2026-01-08,5.0,True
111,,YT,4042227035.0,2022-12-22,2023-01-20,,cong ty co phan sim food,TRẦN THỊ THỦY,"P2-SH.05A Tòa Park 2 Vinhomes Central Park, 720A Điện Biên Phủ",22,binh thanh,,kinh doanh dich vu an uong,111,2023-01-09,,,,,,ho chi minh,cong ty co phan sim food,binh thanh,22,2026-01-08,18.0,True
112,,YT,4042226551.0,2022-12-22,2023-01-20,,cong ty tnhh hilala,ĐỖ NGUYỄN LAN ANH,Số 9 Hoàng Hoa Thám,6,binh thanh,,kinh doanh dich vu an uong,112,2023-01-09,,,,,,ho chi minh,cong ty tnhh hilala,binh thanh,6,2026-01-08,18.0,True
113,,YT,4042226532.0,2023-01-04,2023-02-08,,đia điem kinh doanh cong ty tnhh kien nguyen decor - cua hang 313c trinh đinh trong,TRẦN THỊ XUÂN MAI,313C Trịnh Đình Trọng,hoa thanh,tan phu,,kinh doanh dich vu an uong,113,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh kien nguyen decor - cua hang 313c trinh đinh trong,tan phu,hoa thanh,2026-01-08,5.0,True
114,,YT,4042227068.0,2022-12-26,2023-01-31,,đia điem kinh doanh so 103 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,TRƯƠNG THỊ THANH HUYỀN,D32 Cư Xá Phú Lâm B,13,6,,kinh doanh dich vu an uong,114,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh so 103 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,6,13,2026-01-08,14.0,True
115,,YT,4042227011.0,2022-12-23,2023-01-30,,đia điem kinh doanh 01 - cong ty tnhh thuong mai dich vu kiwi,LÊ HOÀNG,487 Nguyễn Tri Phương,8,10,,kinh doanh dich vu an uong,115,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh 01 - cong ty tnhh thuong mai dich vu kiwi,10,8,2026-01-08,17.0,True
116,,YT,4042227080.0,2022-12-22,2023-01-20,,cong ty tnhh thuong mai dich vu biyoki,NGUYỄN THỊ THANH HẰNG,Số 304 Minh Phụng,2,11,,kinh doanh dich vu an uong,116,2023-01-09,,,,,,ho chi minh,cong ty tnhh thuong mai dich vu biyoki,11,2,2026-01-08,18.0,True
117,,YT,4042227121.0,2022-12-27,2023-02-01,,đia điem kinh doanh cong ty co phan ca phe phoenix group - quan ca phe phoenix 1,TRẦN HỮU TÙNG,39 Đường số 3,binh hung hoa b,binh tan,,kinh doanh dich vu an uong,117,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan ca phe phoenix group - quan ca phe phoenix 1,binh tan,binh hung hoa b,2026-01-08,13.0,True
118,,YT,4042227032.0,2023-12-22,2023-01-20,,nha hang pizza hut - le trong tan,LIN KENG CHOR,Số 702-702 A Lê Trọng Tấn,binh hung hoa,binh tan,,kinh doanh dich vu an uong,118,2023-01-09,,,,,,ho chi minh,nha hang pizza hut - le trong tan,binh tan,binh hung hoa,2026-01-08,-347.0,True
119,,YT,4042226373.0,2023-01-04,2023-02-08,,cong ty tnhh o.bong.zip,PARK KIWAN,Số 28 Đường Số 6 Khu Phố Hưng Vượng II,tan phong,7,,kinh doanh dich vu an uong,119,2023-01-09,,,,,,ho chi minh,cong ty tnhh o.bong.zip,7,tan phong,2026-01-08,5.0,True
120,,YT,4042227070.0,2022-12-23,2023-01-30,,cua hang lotteria le quang đinh,LEE WOO JU,346B Lê Quang Định,11,binh thanh,,kinh doanh dich vu an uong,120,2023-01-09,,,,,,ho chi minh,cua hang lotteria le quang đinh,binh thanh,11,2026-01-08,17.0,True
121,,YT,4042227084.0,2022-12-26,2023-01-31,,đia điem kinh doanh cua cong ty tnhh jollibee viet nam – cua hang thuc an nhanh jollibee au co,LÂM HỒNG NGUYỄN,650 Đường Âu Cơ,10,tan binh,,kinh doanh dich vu an uong,121,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cua cong ty tnhh jollibee viet nam – cua hang thuc an nhanh jollibee au co,tan binh,10,2026-01-08,14.0,True
122,,YT,4042226744.0,2023-01-04,2023-02-08,,đia điem kinh doanh - cong ty tnhh te te & phe quan,NGUYỄN THỤY HỒNG HẢI,"Tầng trệt - Tầng 1, 186 Đặng Văn Ngữ",13,phu nhuan,,kinh doanh dich vu an uong,122,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh - cong ty tnhh te te & phe quan,phu nhuan,13,2026-01-08,5.0,True
123,,YT,4042227052.0,2022-12-21,2023-01-19,,ho kinh doanh banh yeu,TRƯƠNG THỊ HÒA,"79/1 đường Bà Điểm 5, ấp Tây Lân",ba điem,hoc mon,,"chiet rot, đong goi huong lieu thuc pham",123,2023-01-09,,,,,,ho chi minh,ho kinh doanh banh yeu,hoc mon,ba điem,2026-01-08,19.0,True
124,,YT,4042226678.0,2022-12-22,2023-01-20,,chi nhanh huyen hoc mon tai thanh pho ho chi minh cong ty tnhh san xuat - thuong mai- cong nghe xuat nhap khau minh kiem,LÊ TRỌNG CẦN,"15/1E, ấp Tam Đông 1",thoi tam thon,hoc mon,,san xuat nuoc uong đong binh,124,2023-01-09,,,,,,ho chi minh,chi nhanh huyen hoc mon tai thanh pho ho chi minh cong ty tnhh san xuat - thuong mai- cong nghe xuat nhap khau minh kiem,hoc mon,thoi tam thon,2026-01-08,18.0,True
125,,YT,4042226498.0,2023-01-03,2023-02-06,,chi nhanh so 2 - cong ty co phan cung ung thuc pham jetcatering,NGUYỄN NGỌC HIẾN,371 Nguyễn Kiệm,3,go vap,,kinh doanh dich vu an uong,125,2023-01-09,,,,,,ho chi minh,chi nhanh so 2 - cong ty co phan cung ung thuc pham jetcatering,go vap,3,2026-01-08,6.0,True
126,,YT,4042227008.0,2022-12-22,2023-01-20,,chi nhanh cong ty tnhh dich vu suju,VŨ TRỌNG NGHĨA,"Tầng 8, 149 - 151 Nguyễn Du",ben thanh,1,,kinh doanh dich vu an uong,126,2023-01-09,,,,,,ho chi minh,chi nhanh cong ty tnhh dich vu suju,1,ben thanh,2026-01-08,18.0,True
127,,YT,4042227007.0,2022-12-23,2023-01-30,,đia điem kinh doanh 2 - cong ty tnhh tokyo land f&b,TAKAYAMA KAZUNORI,7/1 Lê Thánh Tôn,ben nghe,1,,kinh doanh dich vu an uong,127,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh 2 - cong ty tnhh tokyo land f&b,1,ben nghe,2026-01-08,17.0,True
128,,YT,4042226730.0,2022-12-23,2023-01-30,,đia điem kinh doanh - cong ty tnhh thuong mai dich vu san xuat product progression internationl - xuong đong goi thuc pham,TRƯƠNG VÀNH KHUYÊN,179 Phong Phú,11,8,,"phoi tron, đong goi: nguyen lieu thuc pham, phu gia thuc pham",128,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh - cong ty tnhh thuong mai dich vu san xuat product progression internationl - xuong đong goi thuc pham,8,11,2026-01-08,17.0,True
129,,YT,4042227100.0,2022-12-28,2023-02-02,,cong ty tnhh work easy,LÊ HUỲNH MAI,"Phòng 201, Tầng 2, Tòa nhà Saigon Paragon, Số 3 Nguyễn Lương Bằng",tan phu,7,,kinh doanh dich vu an uong,129,2023-01-09,,,,,,ho chi minh,cong ty tnhh work easy,7,tan phu,2026-01-08,12.0,True
130,,YT,4042227034.0,2022-12-26,2023-01-31,,runam - art of gifting - đia điem kinh doanh chi nhanh 7 cong ty co phan niso,NGUYỄN HỮU TƯỜNG,135 Hai Bà Trưng ,ben nghe,1,,kinh doanh dich vu an uong,130,2023-01-09,,,,,,ho chi minh,runam - art of gifting - đia điem kinh doanh chi nhanh 7 cong ty co phan niso,1,ben nghe,2026-01-08,14.0,True
131,,YT,4042227049.0,2022-12-27,2023-02-01,,chi nhanh cong ty tnhh lefe,NGUYỄN TRẦN DŨNG,"Tầng 5, số 8A/A23 Thái Văn Lung ",ben nghe,1,,kinh doanh dich vu an uong,131,2023-01-09,,,,,,ho chi minh,chi nhanh cong ty tnhh lefe,1,ben nghe,2026-01-08,13.0,True
132,,YT,4042227126.0,2022-12-27,2023-02-01,,cong ty tnhh thuong mai va dich vu regal,PHẠM TRƯỞNG THÀNH,29 Lê Thánh Tôn ,ben nghe,1,,kinh doanh dich vu an uong,132,2023-01-09,,,,,,ho chi minh,cong ty tnhh thuong mai va dich vu regal,1,ben nghe,2026-01-08,13.0,True
133,,YT,4042227064.0,2022-12-27,2023-02-01,,chi nhanh cong ty tnhh thuong mai - dich vu - nha hang giai đieu moi-nha hang voxxy,NGUYỄN TẤN QUỐC,62/48/1 Trần Hưng Đạo ,pham ngu lao,1,,kinh doanh dich vu an uong,133,2023-01-09,,,,,,ho chi minh,chi nhanh cong ty tnhh thuong mai - dich vu - nha hang giai đieu moi-nha hang voxxy,1,pham ngu lao,2026-01-08,13.0,True
134,,YT,4042226966.0,2023-01-04,2023-02-08,,chi nhanh cong ty tnhh xay dung kinh doanh nha va khach san thai binh,DIỆP THỊ KIM MAI,01 Phạm Viết Chánh,nguyen cu trinh,1,,kinh doanh dich vu an uong,134,2023-01-09,,,,,,ho chi minh,chi nhanh cong ty tnhh xay dung kinh doanh nha va khach san thai binh,1,nguyen cu trinh,2026-01-08,5.0,True
135,,YT,4042226920.0,2023-01-04,2023-02-08,,cong ty tnhh nha hang co bong,NGUYỄN THU HÀ,31 Trần Hưng Đạo,nguyen thai binh,1,,kinh doanh dich vu an uong,135,2023-01-09,,,,,,ho chi minh,cong ty tnhh nha hang co bong,1,nguyen thai binh,2026-01-08,5.0,True
136,,YT,4042227143.0,2022-12-26,2023-01-31,,cong ty tnhh daco green,HOÀNG SAO XINH,"SAV.2-00.04 Tầng trệt, Tháp 2, The Sun Avenue, Số 28 Đại lộ Mai Chí Thọ",an phu,thu đuc,,kinh doanh dich vu an uong,136,2023-01-09,,,,,,ho chi minh,cong ty tnhh daco green,thu đuc,an phu,2026-01-08,14.0,True
137,,YT,4042227152.0,2022-12-27,2023-02-01,,đia điem kinh doanh cong ty tnhh global fresh meat - bbq plan k,LÊ NHƯ UYÊN,175 Đường Xa Lộ Hà Nội,thao đien,thu đuc,,kinh doanh dich vu an uong,137,2023-01-09,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh global fresh meat - bbq plan k,thu đuc,thao đien,2026-01-08,13.0,True
138,,YT,4042226823.0,2022-12-27,2023-02-01,,cong ty tnhh momiji - la phong,NGUYỄN TRẦN NHẬT QUỲNH,Số 4 Lê Văn Miến,thao đien,thu đuc,,kinh doanh dich vu an uong,138,2023-01-09,,,,,,ho chi minh,cong ty tnhh momiji - la phong,thu đuc,thao đien,2026-01-08,13.0,True
